Mon
Jumping High I,(08:00-08:24)(08:24-08:29)
Throwing Shot II,(08:29-09:04)(09:04-09:09)
coffe break from 10:00 to 10:15
Running Circal(800-1600-3000-60),(10:15-11:39)(11:39-11:44)
Sprint(60-200),(11:44-11:48)(11:48-11:53)
lunch from 12:00 to 13:00
Jumping High II,(13:00-13:24)(13:24-13:29)
Throwing Shot I,(13:29-13:59)(13:59-14:04)
Jumping long/triple II,(14:18-14:57)(14:57-15:02)
Jumping long/triple I,(15:42-16:18)(16:18-16:23)
Tues
coffe break from 10:00 to 10:15
Jumping Pole,(11:06-11:36)(11:36-11:41)
lunch from 12:00 to 13:00
