Mon
Jumping Pole,(08:00-08:18)(08:18-08:23)
Jumping long/triple I,(09:12-09:18)(09:18-09:23)
coffe break from 10:00 to 10:15
Jumping long/triple II,(10:15-10:24)(10:24-10:29)
Sprint(60-200),(10:29-10:31)(10:31-10:36)
lunch from 12:00 to 13:00
Throwing Shot I,(13:00-13:10)(13:10-13:15)
Jumping High II,(13:24-13:33)(13:33-13:38)
Jumping High I,(13:44-13:53)(13:53-13:58)
Tues
Throwing Shot II,(08:00-08:15)(08:15-08:20)
coffe break from 10:00 to 10:15
Running Circal(800-1600-3000-60),(11:11-11:47)(11:47-11:52)
lunch from 12:00 to 13:00
