Mon
Throwing Shot II,(08:00-08:20)(08:20-08:25)
Jumping High II,(09:26-09:41)(09:41-09:46)
coffe break from 10:00 to 10:15
Throwing Shot I,(10:15-10:35)(10:35-10:40)
Jumping long/triple I,(11:32-11:50)(11:50-11:55)
lunch from 12:00 to 13:00
Sprint(60-200),(13:00-13:03)(13:03-13:08)
Jumping Pole,(14:40-14:58)(14:58-15:03)
Jumping High I,(15:03-15:15)(15:15-15:20)
Jumping long/triple II,(15:27-15:48)(15:48-15:53)
Tues
coffe break from 10:00 to 10:15
lunch from 12:00 to 13:00
Running Circal(800-1600-3000-60),(14:14-15:07)(15:07-15:12)
