Mon
Sprint(60-200),(08:05-08:08)(08:08-08:13)
Jumping Pole,(08:18-08:42)(08:42-08:47)
coffe break from 10:00 to 10:15
Throwing Shot II,(10:15-10:30)(10:30-10:35)
Jumping long/triple II,(11:23-11:47)(11:47-11:52)
lunch from 12:00 to 13:00
Running Circal(800-1600-3000-60),(13:00-13:53)(13:53-13:58)
Throwing Shot I,(13:59-14:14)(14:14-14:19)
Jumping High II,(15:09-15:18)(15:18-15:23)
Jumping High I,(15:23-15:32)(15:32-15:37)
Jumping long/triple I,(16:57-17:21)(17:21-17:26)
Tues
coffe break from 10:00 to 10:15
lunch from 12:00 to 13:00
