Mon
Running Circal(800-1600-3000-60),(08:56-09:24)(09:24-09:29)
Throwing Shot II,(09:29-09:39)(09:39-09:44)
coffe break from 10:00 to 10:15
Sprint(60-200),(10:20-10:22)(10:22-10:27)
Jumping High I,(11:38-11:44)(11:44-11:49)
lunch from 12:00 to 13:00
Jumping long/triple I,(13:00-13:15)(13:15-13:20)
Jumping Pole,(14:58-15:10)(15:10-15:15)
Jumping High II,(15:18-15:27)(15:27-15:32)
Jumping long/triple II,(15:48-16:03)(16:03-16:08)
Tues
Throwing Shot I,(09:00-09:10)(09:10-09:15)
coffe break from 10:00 to 10:15
lunch from 12:00 to 13:00
