Mon
Jumping long/triple I,(08:57-09:12)(09:12-09:17)
Sprint(60-200),(09:17-09:19)(09:19-09:24)
coffe break from 10:00 to 10:15
Jumping High II,(11:03-11:12)(11:12-11:17)
lunch from 12:00 to 13:00
Jumping long/triple II,(13:00-13:18)(13:18-13:23)
Throwing Shot I,(14:14-14:24)(14:24-14:29)
Jumping Pole,(15:10-15:22)(15:22-15:27)
Jumping High I,(15:32-15:41)(15:41-15:46)
Tues
Throwing Shot II,(08:15-08:25)(08:25-08:30)
coffe break from 10:00 to 10:15
lunch from 12:00 to 13:00
Running Circal(800-1600-3000-60),(15:07-15:35)(15:35-15:40)
