Mon
Sprint(60-200),(08:00-08:05)(08:05-08:10)
Jumping long/triple II,(09:00-09:45)(09:45-09:50)
coffe break from 10:00 to 10:15
Jumping High I,(10:15-10:42)(10:42-10:47)
Jumping long/triple I,(10:47-11:32)(11:32-11:37)
lunch from 12:00 to 13:00
Running Circal(800-1600-3000-60),(13:53-15:17)(15:17-15:22)
Throwing Shot II,(15:22-16:07)(16:07-16:12)
Throwing Shot I,(16:12-16:52)(16:52-16:57)
Jumping High II,(16:57-17:27)(17:27-17:32)
Tues
Jumping Pole,(08:00-08:33)(08:33-08:38)
coffe break from 10:00 to 10:15
lunch from 12:00 to 13:00
