Mon
Running Circal(800-1600-3000-60),(08:00-08:56)(08:56-09:01)
Jumping High I,(09:01-09:22)(09:22-09:27)
Sprint(60-200),(09:27-09:31)(09:31-09:36)
coffe break from 10:00 to 10:15
Jumping High II,(10:15-10:39)(10:39-10:44)
Jumping long/triple II,(10:44-11:23)(11:23-11:28)
lunch from 12:00 to 13:00
Jumping long/triple I,(13:15-13:51)(13:51-13:56)
Throwing Shot II,(16:07-16:32)(16:32-16:37)
Jumping Pole,(16:37-17:07)(17:07-17:12)
Throwing Shot I,(17:12-17:32)(17:32-17:37)
Tues
coffe break from 10:00 to 10:15
lunch from 12:00 to 13:00
