Mon
Jumping long/triple I,(08:00-08:57)(08:57-09:02)
Jumping High II,(09:02-09:26)(09:26-09:31)
Sprint(60-200),(09:31-09:37)(09:37-09:42)
coffe break from 10:00 to 10:15
Jumping Pole,(10:15-11:09)(11:09-11:14)
Jumping High I,(11:14-11:38)(11:38-11:43)
lunch from 12:00 to 13:00
Jumping long/triple II,(13:18-14:18)(14:18-14:23)
Running Circal(800-1600-3000-60),(15:17-16:56)(16:56-17:01)
Throwing Shot II,(17:01-17:41)(17:41-17:46)
Tues
Throwing Shot I,(08:00-08:40)(08:40-08:45)
coffe break from 10:00 to 10:15
lunch from 12:00 to 13:00
