Mon
Jumping long/triple II,(08:00-09:00)(09:00-09:05)
Throwing Shot I,(09:05-09:55)(09:55-10:00)
coffe break from 10:00 to 10:15
Sprint(60-200),(10:15-10:20)(10:20-10:25)
Jumping High II,(10:39-11:03)(11:03-11:08)
lunch from 12:00 to 13:00
Jumping High I,(13:00-13:24)(13:24-13:29)
Throwing Shot II,(13:50-14:40)(14:40-14:45)
Jumping long/triple I,(14:45-15:42)(15:42-15:47)
Tues
Running Circal(800-1600-3000-60),(08:00-09:27)(09:27-09:32)
coffe break from 10:00 to 10:15
Jumping Pole,(10:15-11:06)(11:06-11:11)
lunch from 12:00 to 13:00
