Mon
Sprint(60-200),Running Circal(800-1600-3000-60),Jumping long/triple I,Jumping long/triple II,Jumping High I,Jumping High II,Jumping Pole,Throwing Shot I,Throwing Shot II,
7_8_F(08:00-08:05)(08:05-08:10),7_8_M(08:00-08:56)(08:56-09:01),9_10_F(08:00-08:57)(08:57-09:02),9_10_M(08:00-09:00)(09:00-09:05),11_12_F(08:00-08:24)(08:24-08:29),11_12_M(08:00-08:18)(08:18-08:23),13_14_F(08:00-08:18)(08:18-08:23),13_14_M(08:00-08:50)(08:50-08:55),15_16_F(08:00-08:20)(08:20-08:25),
15_16_M(08:05-08:08)(08:08-08:13),17_18_F(08:56-09:24)(09:24-09:29),17_18_M(08:57-09:12)(09:12-09:17),7_8_F(09:00-09:45)(09:45-09:50),7_8_M(09:01-09:22)(09:22-09:27),9_10_F(09:02-09:26)(09:26-09:31),,9_10_M(09:05-09:55)(09:55-10:00),11_12_F(08:29-09:04)(09:04-09:09),
11_12_M(08:23-08:27)(08:27-08:32),,13_14_F(09:12-09:18)(09:18-09:23),,13_14_M(09:22-09:46)(09:46-09:51),15_16_F(09:26-09:41)(09:41-09:46),15_16_M(08:18-08:42)(08:42-08:47),,17_18_F(09:29-09:39)(09:39-09:44),
17_18_M(09:17-09:19)(09:19-09:24),,,,,,,,,
7_8_M(09:27-09:31)(09:31-09:36),,,,,,,,,
9_10_F(09:31-09:37)(09:37-09:42),,,,,,,,,
coffe break from 10:00 to 10:15,
9_10_M(10:15-10:20)(10:20-10:25),11_12_F(10:15-11:39)(11:39-11:44),11_12_M(10:15-10:42)(10:42-10:47),13_14_F(10:15-10:24)(10:24-10:29),7_8_F(10:15-10:42)(10:42-10:47),7_8_M(10:15-10:39)(10:39-10:44),9_10_F(10:15-11:09)(11:09-11:14),15_16_F(10:15-10:35)(10:35-10:40),15_16_M(10:15-10:30)(10:30-10:35),
17_18_F(10:20-10:22)(10:22-10:27),,7_8_F(10:47-11:32)(11:32-11:37),7_8_M(10:44-11:23)(11:23-11:28),9_10_F(11:14-11:38)(11:38-11:43),9_10_M(10:39-11:03)(11:03-11:08),,,11_12_M(10:47-11:07)(11:07-11:12),
13_14_F(10:29-10:31)(10:31-10:36),,,,,,,,,
11_12_F(11:44-11:48)(11:48-11:53),,,,,,,,,
13_14_M(11:48-11:53)(11:53-11:58),,15_16_F(11:32-11:50)(11:50-11:55),15_16_M(11:23-11:47)(11:47-11:52),17_18_F(11:38-11:44)(11:44-11:49),17_18_M(11:03-11:12)(11:12-11:17),,,,
lunch from 12:00 to 13:00,
15_16_F(13:00-13:03)(13:03-13:08),15_16_M(13:00-13:53)(13:53-13:58),17_18_F(13:00-13:15)(13:15-13:20),17_18_M(13:00-13:18)(13:18-13:23),9_10_M(13:00-13:24)(13:24-13:29),11_12_F(13:00-13:24)(13:24-13:29),11_12_M(13:00-13:24)(13:24-13:29),13_14_F(13:00-13:10)(13:10-13:15),13_14_M(13:00-13:50)(13:50-13:55),
,7_8_F(13:53-15:17)(15:17-15:22),7_8_M(13:15-13:51)(13:51-13:56),9_10_F(13:18-14:18)(14:18-14:23),11_12_M(13:29-13:44)(13:44-13:49),13_14_F(13:24-13:33)(13:33-13:38),13_14_M(13:55-14:40)(14:40-14:45),11_12_F(13:29-13:59)(13:59-14:04),9_10_M(13:50-14:40)(14:40-14:45),
